zz,ズー
zwihander,ツヴァイヘンデル
zweie,ツヴァイエ
zuieg,ズウィーグ
zodaw,ゾダウ
zodal,ゾダル
zetsfy,ゼッツファイ
zethpa,ゼスパ
zess,ゼス
zenva,ツェンヴァ
zeeth,ジーズ
zauve,ザーベ
zassyen,ザッシェン
zash,ザッシュ
zarle,ザール
zalez,ザーレズ
zahha,ザッハ
zadius,ザディウス
z.z.x.,ズィークス
yura,ユラ
yuez,ユェゼ
yosyua,ヨシュア
yos,ヨス
yorra,ヨ[ルル]ラ
yorr,ヨ[ルル]
yora,ヨラ
yor,ヨア
yetere,イェーテレ
yerwe,イェーウェ
yehar,イェハール
yehah,イェハー
yeeel,イェール
yeal,イェーア
yea,イェア
yatse,ヤッセ
yassa,ヤッサ
yasra,ヤスラ
yaserwe,ヤサーウェ
yart,ヤート
yanyaue,ヤンヤゥエ
yanwe,ヤンウェ
yant,ヤント
yanje,ヤニェ
yaha,ヤハ
y.z.t.,ヤズット
y.y.,ヤヤ
y.m.q.,ヤンク
xl,クセル
xest,ゼスト
xe,ジ
x.,ズ
won,ウォン
wol,ヴォル
wis,ヴィス
wim,ウィム
willie,ウィリ
wi,ウィ
whou,フォウ
wharn,ワーン
whai,ファイ
werlwe,ウィルウェ
werllra,ウィルラ
ween,ウィン
weel,ウィー
Wee,ウィ
wearequewie,ワーレクワイエ
weak,ウィアク
we,ウェ
watt,ワット
wassa,ワッサ
wase,ウェイズ
wasara,ワサラ
Was,ワス
wart,ワート
warma,ワーマ
ware,ワーレ
warce,ワーシェ
walphish,ワルフィッシュ
walasye,ワラーシェ
walaka,ワラカ
walaen,ワラエン
wael,ワェール
waats,ワーツ
waath,ワース
waa,ワア
wa,ワ
w.w.j.n.c.,ウージャンク
w.s.,ウス
w.r.m.,ワルム
w.r.l,ウルル
w.n.s,ウンス
w.h.h.,ヲゥ
w.f.,ウフ
vonn,ヴォン
vit,ヴィット
viss,ヴィス
vine,ヴィーネ
vinan,ヴィナン
viega,ヴィエーガ
vianchiel,ヴィアンシエール
vege,ヴェジェ
vega,ヴェガ
varda,ヴァルダ
van,ヴァン
valwa,バルワ
v.t,ヴッ
v.s.k,ヴィスク
v.a,ヴァ
uteu,ウテゥ
ut,ウトゥ
urr,ウル
urgn,ウルグン
unloee,アンロイ
ujes,ウジェス
ugi,ウージ
tyui,トゥュイ
tussu,トゥッス
ttu,ツトウ
touwaka,トゥワカ
tou,トゥ
titilia,ティティリア
titil,ティティル
titia,ティティア
tie,ティエ
tictim,ティクティム
ther,ジァ
teyys,テイス
tes,テス
tek,テク
tasyue,ターシュエ
targue,ターグエ
tarfe,ターフェ
tapa,タパ
tanta,タンタ
talam,ターラン
t.r.m,トルム
t.n.m.n,トンムン
t.n.,トゥン
t.k.d.,トクト
syunaht,シュナット
synk,シンク
syec,セク
syast,シャスト
swant,スワント
suwant,スワント
Suspend,サスペンド
stelled,ステレド
stel,ステル
spitze,シュピッツエ
spiritum,スピリトゥム
sphilar,スフィーラ
sphaela,スファイェラ
sosar,ソサル
sos,ソス
sor,ソァ
sonwe,ソンウェ
sol,ソル
slepir,スレピア
slep,スレプ
skit,スキット
sik,シク
sielp,シェルプ
siann,シャン
siance,シャンシェ
sial,シャル
shen,シェン
shellan,シェラン
sheak,シェァク
shazra,シャズラ
sev,セヴ
selena,セレナ
sefanl,セファンル
sechel,セケル
savath,サーバス
sasye,サシェ
sarsa,サーサ
sarrifis,サリフィス
sarr,サール
sarla,サルラ
sara,サラ
sar,サー
sanctum,サンクトゥム
sallogna,サログナ
sabl,サブル
saash,サーシュ
sa,サ
s.s.w.,スーウ
s.n.k.k.,スンク
s.l,シル
ryusse,リュージー
ryewa,リェワ
ruinie,ルイニェ
rudje,ルジェ
Rrha,[ルル]ラ
rre,[ルル]レ
rosa,ロサ
rol,ロル
rivire,リヴィレ
rippllys,リプリス
riomo,リオーモ
Rig=Veda,リグヴェーダ
rifaien,リーファイエン
ridalnae,リダルナーエ
rhaplanca,ラプランカ
revm,レム
reveris,レベリス
revatail,レーヴァテイル
rete,レテ
reta,レタ
repoear,レポエア
reen,リーン
Re=Nation,リネイション
re,レ
rawah,ラワ
raudl,ラウドゥル
rasse,ラッセー
rannef,ラニェフ
rana,ラーナ
raklya,ラクリャ
race,レース
ra,ラ
r.w.,ルゥ
r.f.r.m,ルフルン
r.f.m,ルフン
quowjaz,クォウジャズ
quive,クウィバ
quivale,クィバーレ
quesa,クエーサー
quen,クーン
quel,クエル
qraffa,クラッファ
qejyu,ケジェウ
pupe,ピューペ
ptrapile,プトラピル
ptrapica,プトラピカ
prooth,プルース
presia,プレシア
prasrity,プラスリティー
porter,ポルテア
pop,ポプ
pono,ポノ
pomb,ポム
polon,ポロン
poe,ポエ
plina,プリナ
pitod,ピトッド
pirtue,ピリチュエ
pipit,ピピット
pipel,ピペル
pilt,ピルト
pikca,ピッカ
pic,ピク
phyue,ヒュゥ
phiz,フィズ
phira,ピラ
Phantasmagoria,ファンタスマゴリア
pecee,ピシ
pauwel,パゥウェル
pauwee,パゥウェー
paul,パウル
pat,パッ
parith,パリス
parge,パジェ
parce,パーシェ
papana,パパナ
pakz,パクズ
paks,パクス
pak,パク
Paja,パージャ
pagle,パグレ
p.s.w.t.,ピスウト
oz,オズ
ouwua,オウェア
ouvyu,オウヴュ
ousye,オウシェ
ousye,オウシェ
oure,おぅれ
oucc,オゥク
orviclle,オーヴィクル
oriye,オリイェ
omnis,オムニス
olo,オロ
nyasri,ニャスリ（第Ⅱ想音）
nx,ヌクス
num,ナム
nuih,ヌイ
nozess,ノーゼス
nosaash,ノーサッシュ
nooge,ヌーグ
None,None
noglle,ノグル
noes,ノイス
noce,ノーセ
nnoini,ノイニ
Nn(第Ⅰ想音),ン
Nn,ン
nille,ニル
nha,ニャ
nezz,ネズ
netvear,ネトヴィア
nepo,ネポ
nene,ネネ
neia,ネイア
neen,ニーン
neee,ネエ
nedle,ニドゥル
near,ニェァー
naja,ナージャ
naflansee,ナフランズィー
nafan,ナファン
nafa,ナファ
naave,ナァベ
na,ナ
n.m.l.,ンム
murfanare,ムルファナーレ
murfan,ムルファン
morto,モルト
Metafalica,メタファリカ
messe,メッセー
meso,メソ
meryu,メリュ
merra,ミーラ
meo,メオ
memora,メモーラ
melvaz,メルヴァズ
melifan,メリファン
melenas,メレナス
mean,ミーン
mea,ミーァ
maya,マヤ
maxim,マクシム
maun,マウン
marta,マルタ
maoh,マオ
manafeeze,マナフィーツェ
manafaln,マナファルン
manaf,マナフ
Manac,マナク
mahin,マァイン
maen,マエン
Ma,マ
m.t.y.y.,マトウィ
m.n.g.,ング
m.a.m.,マム
lyuma,リュマ
lyafre,リャフレ
lusye,ルーシェ
lurrea,ルーッレア
lof,ロフ
llizz,リズ
lirle,リレール
lir,ライル
linen,リーネン
Linca,リンカ
li,リ
lequera,リクウィラ
leat,リー
leaff,リーフ
lasye,ラシェ
lapo,ラポ
lamenza,ラメンツァー
la,ラ
l.n.c.a.,ルンカ
l.l.n.,リリン
kuhle,キューレ
ks,ケス
kouf,クーフ
koora,コーラ
kneet,ニート
knawa,ノーワ
kil,キル
kierre,キェーッレ
kiafa,キアファ
ki,キ
khal,クァル
keg,ケグ
keenis,ケニス
keen,ケーン
kapa,カパ
kajya,カジャ
k.v.n.r.,ケヴンル
k.r.,クル
jyel,ジェール
jouee,ジュエ
jenhah,ジェンハー
jenge,ジェンジェ
jass,ジャス
jambea,ジャンベァ
jam,ジャム
j.z.t.,ジェズト
j.w.,ジェウ
j.l.r.,ジュール
j.l.j.,ジェルジェ
irs,イルス
innna,インナ
ini,イニ
inferiare,インフェリアーレ
infel,インフェル
iem,イェム
ieeya,イーヤ
idesy,イデシー
ides,イデス
iasien,イアシェン
i,イ
hyzik,フィジク
hynne,ヒュン
hymmnos,ヒュムノス
hymmne,ヒュムネ
hymme,ヒュム
hymma,ヒュンマ
hyma,ヒュマ
hyear,イェア、ヤ（軽く発音した場合）
hueaf,ヒャフ
houd,ホウド
hopb,ホップ
hiewi,ヒーウィ
hiew,ヒーウ
hierle,ヘィアルレー
hieg,ヒーグ
hes,ヘス
hers,へルス
herra,へ[ルル]ラ
herr,へ[ルル]
here,イア
her,イァ
heighte,ヘイテ
heetha,ヒィーサ
heath,ヒース
hasyu,ハシュ
has,ハス
harton,ハートン
hartes,ハーテス
hars,ハルス
harra,ハ[ルル]ラ
harr,ハ[ルル]
harphe,ハルフェ
Harmonius,ハーモニウス
harmon,ハーモン
hao,ハオ
handeres,ヘンデレス
haf,ハフ
h.w.s.s.,フウス
h.r.n.t.,ハント
h.p.ps.,フップス
h.p.p,フプ
h.m.m.r.,フムル
h.l.s.s.,フルス
h.k.t.t,ハクト
gyusya,ギュシャ
gyuss,ギュス
gyengyat,ジェンジャット
gyenel,ジェネル
gyen,ジェン
gyas,ギャス
gyajlee,ギャジェレ
gyaje,ギャジェ
guwo,グウォ
guol,グォル
guaysu,グァイス
guatrz,ゴーッ
guard,グアルド
grruw,グルゥ
grrena,グレナ
grlanza,グランツァ
grave,グレィヴ
granme,グランメ
grandus,グランドゥス
grandee,グランディエー
gran,グラン
gral,グラル
govaz,ゴーヴァズ
gott,ゴット
got,ゴット
gool,グール
goa,ゴア
glasden,グラスデン
glansee,グランズィ
gkgul,グックル
gigeadeth,ギガディス
getrra,ゲットラ
geeow,ギオ
gaya,ガヤ
gauzewiga,ガゥンゼーヴィーガ
gatyuny,ガチュニ
gatyunla,ガチュンラ
gat,ガット
gasar,ガサル
garlden,ガルデン
ganna,ガナ
gagis,ギャギス
ga,ガ
g.w.f.r.,グウフル
g.k.n,ガッン
fwillra,フィラ
fwal,フワル
futare,フターレ
fusya,フーシャ
fulual,フルアル
ftt,フッ
fs,フス
frissoner,フリッソネア
frawrle,ラワール
frawr,ラーワ
fowrlle,フォワール
fountaina,ファウンティナ
foul,フォウル
Fou,フォウ
forlinden,フォーリンデン
forlindel,フォーリンデル
forgandal,フォーガンダル
folten,フォルテン
fogabe,フォーゲイブ
fluy,フリュイ
flip,フリプ
flare,フラレ
firle,フィルレ
fhyu,ヒュフ
fernia,フェーニャ
ferda,フェルダ
fedyya,フィディーア
fayra,ファイラ
faura,ファウラ
fau,ファウ
fatere,ファーテレ
fatele,ファテレー
fane,ファーネ
fandel,ファンデル
famfa,ファンファ
faja,ファージャ
faf,ファフ
f.w.r.n,フウルン
f.w.r,フウル
f.s.,エフス
f.r.l.,フルル
exec,エグゼク
eux,ユクス
eterne,エテールネ
etealune,エテルネェ
eta,エータ
et,エ
ess,エース
erra,エーラ
enw,エンウ
enter,エンテル
enrer,エンリャ
enne,エニェ
engassya,エンガーシャ
enesse,エネッセ
enerel,エネレル
enegd,エネグドゥ
ene,エヌ
endia,エンディア
enclone,エンクロゥネ
en,エン
elye,エリェ
elle,エル
eje,エジェ
eetor,エトゥー
ee,ィエエ
echrra,エクラ
eazas,イーザス
dyyal,ディーアル
dyya,ディーア
du,ドゥ
dsier,ヂェア
drone,ドゥローネ
dornpica,ドゥルンピカ
dorn,ドルン
dor,ドール
dople,ドプレ
doodu,ドードゥ
dn,ドゥン
diviega,ディヴィエーガ
dius,ディウス
discest,ディセスト
dilete,ディレーテ
didalia,ダイダリア
diasee,ディアズィエー
Dia,ディア
dhezeall,ディージアル
desfel,ディスフェル
der,デァ
denera,デネラ
den,デン
delij,ドゥエリッジ
deleir,デレイア
dejuy,デジュィ
degle,デグル
deggeez,ディジーズ
deata,ダーテ
dauane,ダウアネ
dauan,ダウアン
dand,ダンド
daedu,ダェドゥス
d.z.,ズ
d.n.,ドゥン
cyurio,キュリオ
cyuie,キュイ
cupla,キュプル
crushue,クルシューエ
crudea,クルーデア
crannidale,クラニダーレ
colga,クオルガ
clyncye,クリンシェ
clemezen,クレムゼン
clare,クラレ
clamour,クラマー
clalliss,クラリス
ciellenne,シエルレーニェ
ciel,シェール
cia,シア
chyet,シェッ
chsee,チーセ
chs,チス
ChronicleKey,クロニクルキー
chiess,チェス
chanti,シャンティ
cexm,セズム
cest,セスト
cerchio,チェルキオ
cenjue,チェンジュエ
celle,セルレ
celetille,セレティル
ceku,セク
cecet,ケケト
cause,カウゼ
c.z.,スズ
burle,ブゥレ
briyante,ブリイャンテ
brinch,ブリンク
boh,ボッフ
boches,ボチェス
bister,ビステル
biron,ビロン
bexm,ベズム
bengnuih,ベヌイ
beng,ベング
beja,ベジャ
bautifal,バティファル
basilic,バジリク
bansh,バンシュ
bale,バレ
balduo,バルドゥー
ayulsa,アユルサ
aulla,アウラ
au,アウ
art,アルト
arsye,アーシェ
arrya,アリャ
arhou,アーフー
ar,アル
apea,アペア
anw,アンワ、アンゥ
an,アン
ammue,アミュ
alroetsue,アゥロエットューエ
ale,アーレ
akata,アカタ
aje,アジェ
aiph,アィフ
ag,アグ
afezeria,アフェゼリア
adyya,アディーア
acra,アクラ
accrroad,アクロード
a.u.k.,アウク
<-x,(ス)パグ
10000,ミク／ミィ
1000,キク／キィ
100,ヘク／ヘー
10,デク／デ
9,ネイ
8,オクタ
7,ヘプト
6,イクサ
5,ヴィラ
4,フェフ
3,ドリ
2,ジ
1,ノイ／イ（二進法）
0,ネル／オ（二進法）
